Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1358,916,74,3935,0,0,4,0,0,862,401,35,86,267
1359,167,13,2348,0,33,0,0,0,1465,168,0,0,284
1360,148,31,2655,0,7,0,0,0,469,0,0,17,326
1361,370,22,2670,0,0,0,0,0,727,0,8,12,275
1362,618,149,3294,0,4,0,55,0,938,104,0,0,208
1363,1425,38,6406,0,4,16,0,0,2124,679,0,16,371
1364,634,24,4193,0,0,0,0,0,938,84,24,116,915
1365,604,76,2617,0,11,39,0,0,1361,12,0,0,397
1366,1245,201,5840,0,0,31,0,0,2253,238,0,11,1008
1367,425,72,2903,0,0,0,0,0,1103,169,123,0,396
1368,415,179,5365,0,0,0,0,34,1029,687,11,0,1286
1369,721,170,3867,0,10,7,0,9,945,92,0,42,476
1370,248,28,2688,0,34,10,116,0,1000,36,0,8,9
1371,859,0,6031,0,7,5,0,0,1737,473,56,225,753
1372,1784,123,4858,0,0,63,0,0,1257,626,17,0,2078
1373,347,52,2201,0,0,0,0,0,1215,0,0,0,987
1374,1011,147,2611,0,0,0,0,0,483,19,0,21,799
1375,29,0,1867,0,0,0,0,0,242,0,0,0,37
1376,15,20,1304,0,4,0,0,0,192,0,0,0,0
1377,138,0,1053,0,0,0,0,0,251,0,0,0,0
1378,159,0,2919,0,0,0,0,0,175,0,0,0,7
1379,221,0,1711,0,0,0,0,0,70,0,0,18,0
1380,132,17,827,0,0,0,0,0,174,0,0,0,0
1381,297,0,880,0,0,0,0,0,109,0,0,0,19
1382,122,0,664,0,0,0,0,0,66,0,0,0,23
1383,288,0,987,0,0,0,0,0,53,0,0,0,0
1384,1254,5,3307,0,8,4,0,0,886,50,123,40,747
1385,263,87,4097,0,0,8,0,0,1081,117,30,273,726
1386,1244,163,3969,0,5,0,0,0,1085,76,0,67,1193
1387,506,81,3173,0,44,8,0,9,1395,107,0,0,1033
1388,463,0,1643,0,0,0,0,0,837,0,0,0,325
1389,988,182,5173,0,12,0,14,10,1747,136,0,0,1017
1390,350,0,1325,0,0,0,0,0,347,403,0,4,429
1391,1061,4,3138,0,20,13,0,0,1023,424,0,34,575
